tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,cloudcover,uvindex,severerisk,num_date,preciptype_freezingrain,"preciptype_freezingrain,snow","preciptype_freezingrain,snow,ice",preciptype_none,preciptype_rain,"preciptype_rain,freezingrain","preciptype_rain,freezingrain,snow","preciptype_rain,snow","preciptype_rain,snow,ice",preciptype_snow
26.2,-4.2,10.1,18.1,-16.6,0.6,-3.8,57.2,0.0,0.0,0.0,0.1,43.9,2,0.0,7,0,0,0,1,0,0,0,0,0,0
35.8,28.0,32.5,34.7,24.1,26.8,26.6,78.9,0.0,0.0,0.0,0.1,66.3,2,0.0,9,0,0,0,1,0,0,0,0,0,0
15.3,2.5,9.2,14.6,-6.0,3.5,0.5,68.0,0.0,0.0,0.0,2.4,20.4,2,0.0,14,0,0,0,1,0,0,0,0,0,0
15.3,2.5,9.2,14.6,-6.0,3.5,0.5,68.0,0.0,0.0,0.0,2.4,20.4,2,0.0,14,0,0,0,1,0,0,0,0,0,0
15.3,2.5,9.2,14.6,-6.0,3.5,0.5,68.0,0.0,0.0,0.0,2.4,20.4,2,0.0,14,0,0,0,1,0,0,0,0,0,0
55.1,35.8,43.6,55.1,25.6,37.1,34.5,70.8,0.154,29.17,0.0,0.0,87.8,1,0.0,23,0,0,0,0,1,0,0,0,0,0
47.2,35.0,41.2,44.7,31.4,38.9,30.6,69.3,0.052,8.33,0.0,0.0,41.3,2,0.0,28,0,0,0,0,1,0,0,0,0,0
42.9,28.1,34.7,41.1,18.5,31.9,25.3,69.6,0.035,16.67,0.1,0.0,56.5,1,0.0,29,0,0,0,0,0,0,0,1,0,0
44.2,27.1,40.2,37.6,16.0,33.2,27.5,62.9,0.09,25.0,0.0,0.0,95.7,1,0.0,32,0,0,0,0,0,0,0,1,0,0
55.8,33.0,42.1,55.8,26.2,39.1,40.7,94.6,0.514,75.0,0.0,0.0,100.0,1,0.0,42,0,0,0,0,0,0,0,1,0,0
55.8,33.0,42.1,55.8,26.2,39.1,40.7,94.6,0.514,75.0,0.0,0.0,100.0,1,0.0,42,0,0,0,0,0,0,0,1,0,0
62.0,52.5,57.6,62.0,52.5,57.6,53.4,86.4,1.163,50.0,0.0,0.0,97.4,1,0.0,46,0,0,0,0,1,0,0,0,0,0
70.6,42.3,57.6,70.6,37.3,56.0,46.9,68.7,0.034,20.83,0.0,0.0,80.8,3,0.0,52,0,0,0,0,1,0,0,0,0,0
41.5,37.5,39.3,39.8,30.1,33.8,36.2,88.7,1.255,62.5,0.0,0.0,100.0,1,0.0,53,0,0,0,0,1,0,0,0,0,0
57.8,45.2,48.4,57.8,39.9,45.4,45.2,88.7,0.31,54.17,0.0,0.0,93.0,1,0.0,55,0,0,0,0,1,0,0,0,0,0
51.3,35.8,42.9,51.3,31.5,39.3,22.5,47.5,0.0,0.0,0.0,0.0,14.7,4,0.0,57,0,0,0,1,0,0,0,0,0,0
51.3,35.8,42.9,51.3,31.5,39.3,22.5,47.5,0.0,0.0,0.0,0.0,14.7,4,0.0,57,0,0,0,1,0,0,0,0,0,0
54.5,29.9,43.6,54.5,23.6,41.5,18.3,39.7,0.0,0.0,0.0,0.0,9.6,4,0.0,58,0,0,0,1,0,0,0,0,0,0
64.0,40.4,51.7,64.0,34.9,49.9,31.3,46.3,0.002,8.33,0.0,0.0,47.4,4,0.0,59,0,0,0,0,1,0,0,0,0,0
64.0,40.4,51.7,64.0,34.9,49.9,31.3,46.3,0.002,8.33,0.0,0.0,47.4,4,0.0,59,0,0,0,0,1,0,0,0,0,0
64.0,40.4,51.7,64.0,34.9,49.9,31.3,46.3,0.002,8.33,0.0,0.0,47.4,4,0.0,59,0,0,0,0,1,0,0,0,0,0
53.8,34.0,47.3,53.8,22.7,44.2,42.4,83.2,0.483,50.0,0.0,0.0,86.5,1,0.0,60,0,0,0,0,0,0,0,1,0,0
53.8,34.0,47.3,53.8,22.7,44.2,42.4,83.2,0.483,50.0,0.0,0.0,86.5,1,0.0,60,0,0,0,0,0,0,0,1,0,0
53.8,34.0,47.3,53.8,22.7,44.2,42.4,83.2,0.483,50.0,0.0,0.0,86.5,1,0.0,60,0,0,0,0,0,0,0,1,0,0
37.5,29.1,33.1,27.5,18.1,21.3,21.6,63.6,0.01,8.33,0.2,0.2,71.1,3,0.0,61,0,0,0,0,0,0,0,1,0,0
37.5,29.1,33.1,27.5,18.1,21.3,21.6,63.6,0.01,8.33,0.2,0.2,71.1,3,0.0,61,0,0,0,0,0,0,0,1,0,0
37.5,29.1,33.1,27.5,18.1,21.3,21.6,63.6,0.01,8.33,0.2,0.2,71.1,3,0.0,61,0,0,0,0,0,0,0,1,0,0
41.0,24.9,31.2,32.7,13.7,22.1,17.5,58.4,0.0,0.0,0.0,0.0,4.7,4,0.0,62,0,0,0,1,0,0,0,0,0,0
41.0,24.9,31.2,32.7,13.7,22.1,17.5,58.4,0.0,0.0,0.0,0.0,4.7,4,0.0,62,0,0,0,1,0,0,0,0,0,0
41.0,24.9,31.2,32.7,13.7,22.1,17.5,58.4,0.0,0.0,0.0,0.0,4.7,4,0.0,62,0,0,0,1,0,0,0,0,0,0
42.2,23.9,31.2,36.2,14.8,23.7,14.4,54.4,0.0,0.0,0.0,0.0,1.7,4,0.0,63,0,0,0,1,0,0,0,0,0,0
41.2,20.3,30.7,37.5,13.5,26.2,12.7,48.7,0.0,0.0,0.0,0.0,9.5,4,0.0,64,0,0,0,1,0,0,0,0,0,0
