latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemin,humidity,precip,preciptype,cloudcover,conditions,description,stations
39.952,-75.162,2016-01-01,42.6,35.2,39.8,29.7,53.8,0,,85.7,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-02,43.3,31.3,36.7,26.5,54.6,0,,30,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-03,48.5,29.1,37.7,24.4,60.2,0,,13.2,Clear,Clear conditions throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-04,34.2,14.8,28.5,-2,44.5,0,,26.6,Partially cloudy,Clearing in the afternoon.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-05,31.7,12.4,21.2,-4.1,37.1,0,,0,Clear,Clear conditions throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-06,39.7,19,28.2,14,47.7,0,,5.2,Clear,Clear conditions throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-07,44.9,26.6,36.3,24.8,63.6,0,,84.6,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-08,44.5,35.7,40.5,34.1,67,0,,96.6,Overcast,Cloudy skies throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-09,52.3,41.4,46.3,36.8,80.9,0,,100,Overcast,Cloudy skies throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-10,64.3,41.2,54.7,32.5,75.3,0.668,rain,86.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-11,39.1,26.6,32,16.9,37.1,0,,15.8,Clear,Clear conditions throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-12,44.9,22.6,33,15.1,50.3,0,,70.5,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-13,27.9,21.4,25.2,6,41.2,0,,30.4,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-14,46.3,25.1,34.4,16.6,44.8,0,,66.7,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-15,52.4,29.2,41.1,26.9,67.8,0.091,rain,71.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-16,52.4,41.4,45.6,35.4,69.5,0.217,rain,84.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-17,41.4,30.2,34.8,23.2,66.8,0.033,"rain,snow",76.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-18,30.2,17.4,23.5,1.7,47.8,0,,19.4,Clear,Clear conditions throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-19,28.5,15.8,21.7,-0.7,41.8,0,,8.8,Clear,Clear conditions throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-20,34.9,21.8,28.8,11.4,52.4,0,,59,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-21,35.8,26.4,30.9,18.2,48.5,0,,54.3,Partially cloudy,Becoming cloudy in the afternoon.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-22,27.8,21.1,25,11.2,54.6,0.128,snow,69.8,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-23,29.5,23.8,26.8,8.6,83.7,0.215,"rain,snow",100,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-24,32.8,21.4,27.3,9.5,52,0,"rain,snow",40.5,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-25,38.4,19.5,28.9,15,58.4,0,,46.1,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-26,48.3,23.5,38.1,18.7,67,0,"rain,snow",77.9,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-27,44.1,29.3,39.9,26.9,53.8,0,,62.5,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-28,42,22.8,32.7,22.8,61.9,0,,47.7,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-29,41.1,27.2,34.5,22.3,62.5,0,,78.8,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-30,40.2,25.8,33.2,17,51.5,0,,31.9,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-01-31,57,30,42.6,26.7,60.7,0,rain,63.5,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-02-01,57.7,42.4,47.9,38.6,71.5,0.093,rain,81.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-02-02,52,34.4,42.6,28.8,56.7,0,,17,Clear,Clear conditions throughout the day.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-02-03,60.9,34,50.7,30.3,83,0.401,rain,93,"Rain, Overcast",Cloudy skies throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,KPHL"
39.952,-75.162,2016-02-04,55.6,44,50.4,38.9,67.3,0.013,rain,99.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,KPHL"
