"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"Allegheny County, PA"	"42003"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Drug-induced causes"	"D"	10	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Drug-induced causes"	"D"	18	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Drug-induced causes"	"D"	12	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Drug-induced causes"	"D"	10	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"1999"	"1999"	"May, 1999"	"1999/05"	"Drug-induced causes"	"D"	10	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Drug-induced causes"	"D"	11	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Drug-induced causes"	"D"	13	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Drug-induced causes"	"D"	11	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Drug-induced causes"	"D"	11	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Drug-induced causes"	"D"	14	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Drug-induced causes"	"D"	14	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Drug-induced causes"	"D"	13	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Drug-induced causes"	"D"	14	Not Applicable	Not Applicable
